Date,rstar (filtered),g (filtered),z (filtered),output gap (filtered),,All results are output from the Stage 3 model.,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,rrgap,,Date,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1977-01-01,7.29610214334002,3.44018442494459,-0.147608136368307,-0.182211361403802,,,,,,,,,,,,,,,,1977-01-01,2.17827725568389,1.54293969080086,0.251997562931182,,-2.44010214334002,,1977-01-01,7.27200146959958,3.31851226812749,0.0915597163942672,-0.709994617183042
1977-04-01,7.37082714954756,3.49463722155583,-0.190705546585555,0.168851850487385,,,,,,,,,,,,,,,,1977-04-01,2.18221021161064,1.5453743266378,0.251654051996096,,-2.00282714954756,,1977-04-01,7.27764877942834,3.31674926790006,0.101021723720309,-0.180575485501663
1977-07-01,7.50570619598803,3.52964024390434,-0.131564404016537,0.794482596469948,,,,,,,,,,,,,,,,1977-07-01,2.18747277103161,1.54718570506062,0.251332065373469,,-1.40990619598803,,1977-07-01,7.27915432986542,3.31381284345079,0.108880972145242,0.253105753392333
1977-10-01,7.21977126157536,3.44340165422808,-0.230900308497533,0.720240243431249,,,,,,,,,,,,,,,,1977-10-01,2.17697220592018,1.54906097184079,0.251033154192969,,-0.39227126157536,,1977-10-01,7.28200160815777,3.31039964816045,0.119113562889213,0.274511588874589
1978-01-01,7.1186925838498,3.40508833494602,-0.249078416555457,0.588491512628707,,,,,,,,,,,,,,,,1978-01-01,2.18229089725225,1.55158276386164,0.250776540277762,,-0.00259258384979688,,1978-01-01,7.28999554452864,3.30862737970969,0.130942250905849,0.430055592770373
1978-04-01,7.69251802165918,3.61640814502154,-0.13249690763529,1.29504254515211,,,,,,,,,,,,,,,,1978-04-01,2.20682769558571,1.55329419794521,0.250564430599439,,-0.0138180216591755,,1978-04-01,7.29051791792482,3.30676116053994,0.135502662122715,1.25155016729411
1978-07-01,7.67406341028592,3.59755068810517,-0.11014863504693,1.65080692685058,,,,,,,,,,,,,,,,1978-07-01,2.22235502409232,1.55326726258043,0.2503621466697,,0.888836589714078,,1978-07-01,7.27503706433958,3.30039398709298,0.133798800868508,1.57272258967498
1978-10-01,7.79825190643592,3.62577426653302,-0.0470289988540481,1.8783261796433,,,,,,,,,,,,,,,,1978-10-01,2.24238000960821,1.55325655502173,0.250189445299081,,2.39244809356408,,1978-10-01,7.25932895606961,3.29417622201543,0.131544402082541,1.67126946651399
1979-01-01,7.46037191723998,3.58808977698635,-0.303369050775066,1.12739519709771,,,,,,,,,,,,,,,,1979-01-01,2.24224924627046,1.55315571620462,0.25004368067713,,3.28822808276002,,1979-01-01,7.24276828610261,3.28735186755512,0.129749951356639,1.35487875942192
1979-04-01,7.72324446407235,3.55753996640876,0.025605748422225,1.2864762100703,,,,,,,,,,,,,,,,1979-04-01,2.2464606556499,1.55348131680364,0.249930575956786,,3.15335553592765,,1979-04-01,7.22945349661427,3.28130886000174,0.129510739188888,0.855852228007507
